Ligne (ID);Ligne (nom court);Code du sens;Destination;Point d'arrêt (ID);Point d'arrêt (nom);Coordonnées;Arrivée;Départ;Précision
1001;a;1;J.F. Kennedy;5023;Gares;48.103875,-1.672183;2021-03-04T00:32:43+01:00;2021-03-04T00:33:02+01:00;Applicable
1001;a;1;J.F. Kennedy;5020;Sainte-Anne;48.114501,-1.680398;2021-03-04T00:36:18+01:00;2021-03-04T00:36:37+01:00;Applicable
1001;a;1;J.F. Kennedy;5020;Sainte-Anne;48.114501,-1.680398;2021-03-03T23:13:36+01:00;2021-03-03T23:13:55+01:00;Applicable
1001;a;1;J.F. Kennedy;5024;Jacques Cartier;48.097605,-1.675419;2021-03-03T22:41:37+01:00;2021-03-03T22:41:51+01:00;Applicable
1001;a;1;J.F. Kennedy;5021;République;48.109712,-1.679138;2021-03-03T22:36:43+01:00;2021-03-03T22:37:06+01:00;Temps réel
1001;a;1;J.F. Kennedy;5020;Sainte-Anne;48.114501,-1.680398;2021-03-03T23:22:36+01:00;2021-03-03T23:22:55+01:00;Applicable
1001;a;1;J.F. Kennedy;5024;Jacques Cartier;48.097605,-1.675419;2021-03-03T23:04:07+01:00;2021-03-03T23:04:21+01:00;Applicable
1001;a;1;J.F. Kennedy;5021;République;48.109712,-1.679138;2021-03-03T22:49:48+01:00;2021-03-03T22:50:11+01:00;Applicable
1001;a;1;J.F. Kennedy;5020;Sainte-Anne;48.114501,-1.680398;2021-03-03T23:27:06+01:00;2021-03-03T23:27:25+01:00;Applicable
1001;a;1;J.F. Kennedy;5024;Jacques Cartier;48.097605,-1.675419;2021-03-03T23:17:37+01:00;2021-03-03T23:17:51+01:00;Applicable
1001;a;1;J.F. Kennedy;5021;République;48.109712,-1.679138;2021-03-03T23:03:18+01:00;2021-03-03T23:03:41+01:00;Applicable
1001;a;1;J.F. Kennedy;5020;Sainte-Anne;48.114501,-1.680398;2021-03-03T23:31:36+01:00;2021-03-03T23:31:55+01:00;Applicable
